,round_epochs,val_loss,val_acc,val_custom_iou,loss,acc,custom_iou,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,optimizer,shapes
0,50,0.030589294930299122,0.9874622704936009,0.9046559871411791,0.05019954287483558,0.9809577494275337,0.8638303829174415,<function relu at 0x0000019528529730>,16,0.1,50,1024,6,adam,triangle
1,50,0.037797809706306924,0.9831259238953683,0.8990997379901362,0.054379768167421516,0.9787188780074026,0.8720110257466634,<function relu at 0x0000019528529730>,16,0.1,50,1024,6,rmsprop,triangle
2,50,0.09717088499489952,0.9587103876413083,0.7284512671769834,0.1067525883040884,0.9564008163470848,0.6978993000937443,<function relu at 0x0000019528529730>,16,0.1,50,1024,8,adam,triangle
3,50,0.09221903000976525,0.9565422266137367,0.7485878677929149,0.10955966760714848,0.9544683145541771,0.7233324372300914,<function relu at 0x0000019528529730>,16,0.1,50,1024,8,rmsprop,triangle
4,50,0.03347561059190946,0.9868966598136752,0.8995182666124082,0.04747615629058404,0.980722077921325,0.8656608012377047,<function relu at 0x0000019528529730>,16,0.1,50,512,6,adam,triangle
5,50,0.033319191897616666,0.9863310467963126,0.906612424289479,0.04713311300192978,0.9809577541024077,0.8771245421147814,<function relu at 0x0000019528529730>,16,0.1,50,512,6,rmsprop,triangle
6,50,0.10886965034639134,0.9549396587353126,0.6898760608598298,0.11665474806053966,0.9517580971998327,0.66959549574291,<function relu at 0x0000019528529730>,16,0.1,50,512,8,adam,triangle
7,50,0.0889202888835879,0.9612556532317517,0.7517942984898885,0.10099782812975201,0.9565893581100539,0.727957675854365,<function relu at 0x0000019528529730>,16,0.1,50,512,8,rmsprop,triangle
8,89,0.010201812499230179,0.9972662037494135,0.9700455642214009,0.02360555690521484,0.9923170962754417,0.9386552437847736,<function relu at 0x0000019528529730>,16,0.1,100,1024,6,adam,triangle
9,100,0.016496509266218318,0.9948152151762271,0.9616149266560873,0.03757221282998502,0.9890883974000519,0.9360096074786841,<function relu at 0x0000019528529730>,16,0.1,100,1024,6,rmsprop,triangle
10,100,0.055468814045775174,0.9760557927337348,0.8317665434351155,0.06950548830825616,0.971837288608738,0.8097624001549739,<function relu at 0x0000019528529730>,16,0.1,100,1024,8,adam,triangle
11,100,0.06660806146614692,0.970305414760814,0.8219057882533354,0.08332633095629075,0.9673123920665068,0.8022121775384042,<function relu at 0x0000019528529730>,16,0.1,100,1024,8,rmsprop,triangle
12,89,0.01484362730829447,0.9952865581886441,0.9528790174746046,0.02676481480125849,0.9899132473796022,0.9227190041074566,<function relu at 0x0000019528529730>,16,0.1,100,512,6,adam,triangle
13,100,0.01321875323215043,0.9957579035384982,0.9609331336675906,0.03177838184637949,0.9899132508857578,0.9354234524801666,<function relu at 0x0000019528529730>,16,0.1,100,512,6,rmsprop,triangle
14,100,0.07032835607727368,0.9696455375820983,0.7932091390385347,0.07980042591910153,0.965167783054651,0.7707011910045848,<function relu at 0x0000019528529730>,16,0.1,100,512,8,adam,triangle
15,100,0.07224459712411843,0.9687028515572641,0.8013100226720175,0.0921601834615656,0.9621511925669277,0.7707661314337861,<function relu at 0x0000019528529730>,16,0.1,100,512,8,rmsprop,triangle
16,50,0.07925508419672649,0.9664404029939689,0.7740617943745033,0.1004154697864079,0.9594645441747179,0.7267237843251696,<function relu at 0x0000019528529730>,16,0.3,50,1024,6,adam,triangle
17,50,0.0794953086650839,0.9638951596091775,0.7691321583355174,0.10265182908259186,0.9567307561051612,0.733283995997672,<function relu at 0x0000019528529730>,16,0.3,50,1024,6,rmsprop,triangle
18,50,0.14550036980825312,0.940328041712443,0.5713745823093489,0.1590598826022709,0.9385840793450674,0.5472165159150666,<function relu at 0x0000019528529730>,16,0.3,50,1024,8,adam,triangle
19,39,0.16144899644103705,0.9302413253223195,0.5292400986540551,0.16813953264671214,0.931891016516031,0.5394157814044579,<function relu at 0x0000019528529730>,16,0.3,50,1024,8,rmsprop,triangle
20,50,0.09165016437570254,0.9606900320333593,0.7369645459979188,0.11579859501444827,0.9526536464691162,0.6730794783900765,<function relu at 0x0000019528529730>,16,0.3,50,512,6,adam,triangle
21,50,0.10826279464013436,0.9530542808420518,0.6925914860239216,0.12470137817310352,0.9488829064602945,0.6649830668580299,<function relu at 0x0000019528529730>,16,0.3,50,512,6,rmsprop,triangle
22,14,0.22583656568153232,0.9158182331160003,0.3200039390255423,0.22389317420767804,0.916925894279106,0.3397223584207834,<function relu at 0x0000019528529730>,16,0.3,50,512,8,adam,triangle
23,50,0.15288482664846906,0.9347662095930062,0.5618423176746742,0.16117953436047422,0.9326215935688392,0.5553224443220625,<function relu at 0x0000019528529730>,16,0.3,50,512,8,rmsprop,triangle
24,100,0.051889820353073234,0.9786010361185261,0.8472625391156066,0.0807496866613042,0.968278645884757,0.7904800924600339,<function relu at 0x0000019528529730>,16,0.3,100,1024,6,adam,triangle
25,100,0.06207963400611691,0.9726621368352104,0.8246541198562173,0.09199653346748914,0.9637537616140702,0.7917767716389076,<function relu at 0x0000019528529730>,16,0.3,100,1024,6,rmsprop,triangle
26,64,0.15395092146069395,0.9412707370870254,0.599763247312284,0.1578646127645876,0.9395503296571619,0.5752063004993925,<function relu at 0x0000019528529730>,16,0.3,100,1024,8,adam,triangle
27,83,0.14160892177446216,0.939479624523836,0.6127965041235381,0.16283653632682912,0.9392675243171991,0.6060203430699367,<function relu at 0x0000019528529730>,16,0.3,100,1024,8,rmsprop,triangle
