round_epochs,val_loss,val_custom_iou,loss,custom_iou,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,lr,optimizer,shapes
5,0.2691977585063261,0.28204606327356074,0.22859104591257431,0.32422884597497825,relu,64,0.0,20,256,4,sigmoid,0.001,Adam,triangle
20,0.5839527670074912,0.14303422996810838,0.5887725341553781,0.1429653997514762,relu,64,0.0,20,256,4,sigmoid,0.001,SGD,brick
20,0.5985190377515905,0.141985596687186,0.6024744697645599,0.1420063677371717,relu,64,0.0,20,256,4,sigmoid,0.001,SGD,triangle
5,0.2710716391310972,0.2813741710840487,0.23704013345288297,0.32298117408565447,relu,64,0.0,20,256,6,sigmoid,0.001,Adam,brick
5,0.27029133836428326,0.28142979974840204,0.23953553800489388,0.31028609416064096,relu,64,0.0,20,256,6,sigmoid,0.001,Adam,triangle
20,0.6088346126032811,0.1416610233923968,0.6119854754092646,0.14172986675711238,relu,64,0.0,20,256,6,sigmoid,0.001,SGD,brick
20,0.6184282606723261,0.14150657373316147,0.6205364044974832,0.14185729739712735,relu,64,0.0,20,256,6,sigmoid,0.001,SGD,triangle
7,0.4702121919276668,0.3463420534835142,0.04984521033132777,0.7956351111916935,relu,64,0.0,50,512,2,sigmoid,0.001,Adam,brick
9,0.5385535452880111,0.3532893768712586,0.023526650214312123,0.8944136839286954,relu,64,0.0,50,512,2,sigmoid,0.001,Adam,triangle
50,0.27353117746465344,0.23677432449424968,0.2735641937629849,0.23712059329537785,relu,64,0.0,50,512,2,sigmoid,0.001,SGD,brick
50,0.28378352055362627,0.22078945560782565,0.28605441193954617,0.21958543564759048,relu,64,0.0,50,512,2,sigmoid,0.001,SGD,triangle
7,0.3644946772678226,0.3189033591279797,0.13800554459585862,0.5713314706203985,relu,64,0.0,50,512,4,sigmoid,0.001,Adam,brick
8,0.4135443761068232,0.32997920641712114,0.11666441781848085,0.6211636101498323,relu,64,0.0,50,512,4,sigmoid,0.001,Adam,triangle
50,0.2668417551938225,0.2558410281644148,0.2664090035592808,0.2572982878077264,relu,64,0.0,50,512,4,sigmoid,0.001,SGD,brick
50,0.2667964714414933,0.25514742936573775,0.2670558799131244,0.2558198553674361,relu,64,0.0,50,512,4,sigmoid,0.001,SGD,triangle
6,0.2694337344637104,0.27977416094611673,0.23387020475724163,0.3355386771407782,relu,64,0.0,50,512,6,sigmoid,0.001,Adam,brick
7,0.27963806542695735,0.2871610440459906,0.2287485400835673,0.34252775591962475,relu,64,0.0,50,512,6,sigmoid,0.001,Adam,triangle
50,0.2660104953775219,0.2579874223938175,0.265676082349291,0.2596995006589329,relu,64,0.0,50,512,6,sigmoid,0.001,SGD,brick
50,0.27343981172524245,0.24026287390905268,0.2746652095925574,0.2393372505903244,relu,64,0.0,50,512,6,sigmoid,0.001,SGD,triangle
8,0.3988528643168655,0.3315589907122593,0.07184115636582468,0.7078575971079808,relu,64,0.0,50,256,2,sigmoid,0.001,Adam,brick
9,0.41732268532117206,0.338096723837011,0.06558316215580585,0.71487331273509,relu,64,0.0,50,256,2,sigmoid,0.001,Adam,triangle
50,0.27983205049645665,0.22780606588896582,0.28076571342991846,0.22748631063629599,relu,64,0.0,50,256,2,sigmoid,0.001,SGD,brick
50,0.2869562383960275,0.2191202281152501,0.2878832361277412,0.2187259080363255,relu,64,0.0,50,256,2,sigmoid,0.001,SGD,triangle
6,0.2884838931700763,0.29067829601904926,0.20803767910190657,0.3798155469052932,relu,64,0.0,50,256,4,sigmoid,0.001,Adam,brick
8,0.338387563532474,0.3057717873769648,0.1658143260899712,0.46896113835129083,relu,64,0.0,50,256,4,sigmoid,0.001,Adam,triangle
50,0.2672024737386143,0.25477055036554147,0.26781331996123,0.25534990020826753,relu,64,0.0,50,256,4,sigmoid,0.001,SGD,brick
50,0.2758140651618733,0.23301451317235536,0.27753738679137885,0.23222576257060557,relu,64,0.0,50,256,4,sigmoid,0.001,SGD,triangle
7,0.2715115225782581,0.2836232553510105,0.23344920838580413,0.33777046612664763,relu,64,0.0,50,256,6,sigmoid,0.001,Adam,brick
7,0.274624096996644,0.28438106062365515,0.23288234396308077,0.330346928507674,relu,64,0.0,50,256,6,sigmoid,0.001,Adam,triangle
50,0.2655225548089719,0.2590109247202967,0.26543299649275987,0.2613012241382225,relu,64,0.0,50,256,6,sigmoid,0.001,SGD,brick
50,0.27048562145700644,0.2484309945036383,0.269995754255968,0.24833770125519997,relu,64,0.0,50,256,6,sigmoid,0.001,SGD,triangle
10,0.6283448665749793,0.3650975864307553,0.010157092839625537,0.953364792992087,relu,64,0.0,80,512,2,sigmoid,0.001,Adam,brick
11,0.6291670892752853,0.3564178943634033,0.008954035684320271,0.9569954439705494,relu,64,0.0,80,512,2,sigmoid,0.001,Adam,triangle
80,0.26654914196799784,0.2590082743588616,0.26498159123402015,0.2615743454764871,relu,64,0.0,80,512,2,sigmoid,0.001,SGD,brick
80,0.26662907588715645,0.25798414472271414,0.2652854241576849,0.26071105868208644,relu,64,0.0,80,512,2,sigmoid,0.001,SGD,triangle
11,0.5934451643158408,0.34663377030223025,0.06751929135883555,0.7808158502859228,relu,64,0.0,80,512,4,sigmoid,0.001,Adam,brick
11,0.5768672508351943,0.32620381315549213,0.06274783618602098,0.7963812526534585,relu,64,0.0,80,512,4,sigmoid,0.001,Adam,triangle
80,0.2638274396167082,0.2621154212484173,0.2627760166046666,0.264698408982333,relu,64,0.0,80,512,4,sigmoid,0.001,SGD,brick
80,0.26435985226257175,0.26156048914965463,0.26336254676183063,0.26420096439473767,relu,64,0.0,80,512,4,sigmoid,0.001,SGD,triangle
10,0.3071974574350843,0.28157509834158656,0.18200111184634415,0.46322426842708214,relu,64,0.0,80,512,6,sigmoid,0.001,Adam,brick
10,0.3608407804778978,0.31083030677309226,0.15112942924686507,0.537285261294421,relu,64,0.0,80,512,6,sigmoid,0.001,Adam,triangle
80,0.26273224458974953,0.2630484314525829,0.2625202273621279,0.2646485496969784,relu,64,0.0,80,512,6,sigmoid,0.001,SGD,brick
80,0.26282581628537643,0.2633345734839346,0.26224686965054156,0.2653075252093521,relu,64,0.0,80,512,6,sigmoid,0.001,SGD,triangle
12,0.6046508842823552,0.3552323001272538,0.013732956904991,0.9409292468837663,relu,64,0.0,80,256,2,sigmoid,0.001,Adam,brick
11,0.4980374259107253,0.3520885226773281,0.03356393010300748,0.8470186158722522,relu,64,0.0,80,256,2,sigmoid,0.001,Adam,triangle
80,0.26681987269251956,0.2569480237423205,0.266266350068298,0.2588452463056527,relu,64,0.0,80,256,2,sigmoid,0.001,SGD,brick
80,0.26817696176323236,0.25693321490989013,0.26675506608158933,0.2592763468330982,relu,64,0.0,80,256,2,sigmoid,0.001,SGD,triangle
10,0.4978908393897262,0.3276232802400402,0.08716406439449273,0.7097867680530922,relu,64,0.0,80,256,4,sigmoid,0.001,Adam,brick
11,0.4862857753155278,0.3290514519401625,0.08813317982005138,0.7109843188641118,relu,64,0.0,80,256,4,sigmoid,0.001,Adam,triangle
80,0.26380380520633623,0.2624535595669466,0.2628560913544075,0.2645472767306309,relu,64,0.0,80,256,4,sigmoid,0.001,SGD,brick
80,0.2645506023191938,0.26130790920818553,0.2641082742050582,0.26332756467894014,relu,64,0.0,80,256,4,sigmoid,0.001,SGD,triangle
10,0.31894278467870224,0.29620925760736655,0.18949790737208197,0.4367729372837964,relu,64,0.0,80,256,6,sigmoid,0.001,Adam,brick
11,0.36519931870348316,0.31274255993319494,0.16222840255382015,0.5048929838573232,relu,64,0.0,80,256,6,sigmoid,0.001,Adam,triangle
80,0.2638713676555484,0.2620994571377249,0.2636524602478626,0.2640565411717284,relu,64,0.0,80,256,6,sigmoid,0.001,SGD,brick
80,0.26372665225290787,0.2629478328368243,0.26283201692151087,0.2650020233556336,relu,64,0.0,80,256,6,sigmoid,0.001,SGD,triangle
4,0.26869115525600956,0.28912729959861905,0.21168791195925543,0.3521403787182827,relu,64,0.1,20,512,2,sigmoid,0.001,Adam,brick
6,0.30046473414290187,0.30874667798771577,0.152843510111173,0.4791739419394848,relu,64,0.1,20,512,2,sigmoid,0.001,Adam,triangle
20,0.5829297830076778,0.14371744119653515,0.5876886143403894,0.14372343175551472,relu,64,0.1,20,512,2,sigmoid,0.001,SGD,brick
20,0.5789206320164251,0.14396529191849278,0.5837840075586357,0.14403411629153232,relu,64,0.1,20,512,2,sigmoid,0.001,SGD,triangle
5,0.27307746457118615,0.28847869061956216,0.22153772384512657,0.35155605685477165,relu,64,0.1,20,512,4,sigmoid,0.001,Adam,brick
4,0.2681245494122599,0.27588576429030476,0.2423691621013716,0.3093143391842936,relu,64,0.1,20,512,4,sigmoid,0.001,Adam,triangle
20,0.5747128631554398,0.14402517588699565,0.5810469529208016,0.1439693318862541,relu,64,0.1,20,512,4,sigmoid,0.001,SGD,brick
20,0.5982642091956794,0.14218689501285553,0.6024633213585499,0.14214171907481024,relu,64,0.1,20,512,4,sigmoid,0.001,SGD,triangle
4,0.2656262452695884,0.27865882071794246,0.24181781738412148,0.3148565561163659,relu,64,0.1,20,512,6,sigmoid,0.001,Adam,brick
5,0.2664158420235503,0.2640041784912932,0.24064849287855858,0.31721770821833145,relu,64,0.1,20,512,6,sigmoid,0.001,Adam,triangle
20,0.595208697459277,0.14316058012784696,0.6003005177366967,0.14305013564287447,relu,64,0.1,20,512,6,sigmoid,0.001,SGD,brick
20,0.6117397955819672,0.1413600377592386,0.6152668443380618,0.1415098826674854,relu,64,0.1,20,512,6,sigmoid,0.001,SGD,triangle
5,0.2699001302906111,0.2915686000795925,0.20404974210496044,0.3596758258108999,relu,64,0.1,20,256,2,sigmoid,0.001,Adam,brick
6,0.2685445576321845,0.2872428409024781,0.20047557295537463,0.36584172529332776,relu,64,0.1,20,256,2,sigmoid,0.001,Adam,triangle
20,0.5946757267503178,0.1428188813083312,0.5983867925756118,0.14300920682794907,relu,64,0.1,20,256,2,sigmoid,0.001,SGD,brick
20,0.593877702367072,0.14329045689573475,0.5982910324545467,0.14329487728137597,relu,64,0.1,20,256,2,sigmoid,0.001,SGD,triangle
4,0.26519444643282425,0.27736795649809,0.24212339111402922,0.31100310414445165,relu,64,0.1,20,256,4,sigmoid,0.001,Adam,brick
5,0.26504050399742873,0.27395324788841546,0.24184549556058996,0.30929307259765326,relu,64,0.1,20,256,4,sigmoid,0.001,Adam,triangle
20,0.5662980757507623,0.14450593935508355,0.5728169831575132,0.1443881889184316,relu,64,0.1,20,256,4,sigmoid,0.001,SGD,brick
20,0.6305927038192749,0.14016139419639811,0.6331128746855492,0.1403457399676828,relu,64,0.1,20,256,4,sigmoid,0.001,SGD,triangle
5,0.2680252048314786,0.2757958448400684,0.24096625751140072,0.3206883791614981,relu,64,0.1,20,256,6,sigmoid,0.001,Adam,brick
